ID,Income,Debt,Credit_History_Length,Number_of_Credit_Accounts,Credit_Utilization,Payment_History,Loan_Type,Default_History,Employment_Status,Age,Residence_Status,Education_Level,Marital_Status,Number_of_Dependents,Recent_Credit_Inquiries,Existing_Savings,CIBIL_Score
15,45365,16076,10,7,0.69107924632172,18.0479481829947,Credit Card,2,Unemployed,34,Rented,Bachelor’s,Married,5,4,43452,324.779382792659
16,30015,48731,10,3,0.22930329559057,31.941911321087,Credit Card,3,Salaried,41,Owned,High School,Divorced,2,1,55118,300
17,148517,36474,14,8,0.1591399303278,82.6405758122629,Auto Loan,5,Unemployed,34,Rented,Master’s,Divorced,0,5,36146,300
18,123664,3227,20,10,0.526697636822673,22.4411953805565,Auto Loan,1,Self-employed,32,Mortgaged,Bachelor’s,Married,0,3,98724,624.858500674678
19,83397,46381,17,6,0.135841511719769,78.502372887755,Credit Card,5,Self-employed,51,Rented,Master’s,Divorced,1,4,75122,300
20,41284,25018,3,1,0.88388284469083,22.9172558814597,Credit Card,5,Unemployed,24,Owned,Doctorate,Single,4,2,69006,300
21,71106,24146,2,7,0.707267813272982,65.1125802955621,Home Loan,0,Salaried,58,Rented,Doctorate,Divorced,3,2,14595,343.503508820483
22,44466,5296,9,8,0.3174811914946,73.4049132961403,Personal Loan,1,Self-employed,35,Owned,Bachelor’s,Married,3,4,48053,488.11833749861
23,35177,46497,17,4,0.110109017080768,30.6760729412245,Home Loan,1,Salaried,41,Rented,Bachelor’s,Divorced,1,1,73966,335.293468095869
24,91338,5694,7,5,0.0389610762237762,52.1825245600827,Credit Card,0,Self-employed,64,Rented,Bachelor’s,Single,4,4,35179,549.617154657664
25,70971,35927,18,2,0.861260772766854,6.45182598559951,Home Loan,0,Self-employed,58,Mortgaged,High School,Married,5,0,2426,374.778835716114
26,98020,7677,10,1,0.856711605977664,23.6435841989432,Auto Loan,0,Self-employed,40,Mortgaged,Master’s,Married,1,0,12954,458.112298168372
27,78514,29789,20,4,0.372910234093505,19.2047952745959,Credit Card,0,Self-employed,24,Mortgaged,High School,Divorced,1,1,63477,495.709040894614
28,98383,28337,2,8,0.997948188466369,47.3907560062213,Home Loan,0,Salaried,30,Owned,Doctorate,Divorced,1,0,30144,307.80422582314
29,89130,10803,1,7,0.995260653272661,78.4599259255999,Auto Loan,0,Unemployed,61,Owned,High School,Married,5,4,18151,390.108897635534
30,91809,38081,10,6,0.733612248248139,67.5717256177367,Home Loan,1,Unemployed,31,Owned,Bachelor’s,Divorced,2,5,60287,311.225637984055
31,129190,25695,3,1,0.552343658968952,65.4268347632711,Personal Loan,0,Self-employed,52,Owned,Doctorate,Single,1,4,70319,370.130718151407
32,76623,22261,19,10,0.807775103639208,7.7132340742467,Auto Loan,4,Self-employed,37,Owned,Bachelor’s,Divorced,3,5,33878,302.856106673203
33,126539,19684,8,4,0.18137353922202,58.0442353776133,Credit Card,0,Unemployed,62,Owned,Doctorate,Single,2,0,8502,496.824097099938
34,39945,43321,6,9,0.966612241873356,82.729620690758,Personal Loan,1,Self-employed,22,Rented,Doctorate,Single,4,4,22018,300
35,66066,3703,10,8,0.0992129338025762,5.1159153995139,Auto Loan,3,Salaried,24,Rented,Master’s,Divorced,2,4,25280,408.165664319499
36,105973,10294,9,1,0.935812719478011,21.5471592592451,Home Loan,4,Salaried,36,Rented,High School,Married,1,4,69232,300
37,64397,38593,7,8,0.0375906406376204,83.6902983330094,Auto Loan,2,Unemployed,63,Mortgaged,Master’s,Single,1,3,74072,300
38,43975,14085,8,6,0.0763623765604561,89.4718995265135,Auto Loan,2,Unemployed,39,Rented,Doctorate,Single,1,5,80210,405.991378773878
39,61143,38863,9,1,0.0326424152702732,52.8346461609968,Credit Card,5,Salaried,48,Mortgaged,Doctorate,Divorced,3,1,98422,300
40,138657,3369,6,8,0.426681301992119,1.39163379611408,Home Loan,1,Self-employed,41,Rented,Master’s,Single,3,1,92895,483.620686698845
41,131964,15136,16,2,0.614558414846955,93.8861657853672,Home Loan,4,Self-employed,56,Owned,Master’s,Divorced,0,3,95362,367.783241407988
42,134429,4489,16,4,0.0275844860396027,74.3093185939976,Personal Loan,4,Self-employed,22,Rented,Bachelor’s,Single,1,1,2003,481.570544026372
43,134297,42051,18,9,0.202930777511621,26.8935343517528,Auto Loan,0,Salaried,41,Rented,High School,Married,4,1,67073,497.430022758048
44,84627,48613,7,8,0.650899530912018,12.5131936736251,Credit Card,1,Self-employed,62,Mortgaged,Doctorate,Married,4,4,29757,300
45,48250,17817,16,5,0.407052595819876,66.7355403803363,Home Loan,5,Salaried,60,Owned,High School,Single,3,2,66197,300
46,63431,28839,20,3,0.73787013671669,66.3836247237603,Home Loan,1,Self-employed,38,Owned,Bachelor’s,Single,2,2,69139,422.497132023545
47,127215,41623,14,3,0.603455654497638,52.1938418515777,Home Loan,4,Self-employed,52,Mortgaged,Doctorate,Single,5,3,85945,300
48,42050,26077,19,4,0.538838331052787,48.4090552187248,Personal Loan,4,Self-employed,30,Rented,Doctorate,Single,5,1,94670,300
49,149776,29661,13,6,0.201157542846883,88.4860487757124,Personal Loan,2,Unemployed,41,Rented,Doctorate,Single,0,5,34995,435.672936769835
50,73869,31477,19,9,0.935177728814237,11.0092123173399,Home Loan,2,Unemployed,28,Owned,Master’s,Divorced,0,0,63066,338.847833277246
51,82656,21146,8,9,0.710826557683964,25.4306306375921,Home Loan,5,Unemployed,36,Mortgaged,Master’s,Divorced,3,1,35476,300
52,58233,18088,4,8,0.141947424495935,35.9377934726658,Auto Loan,3,Salaried,58,Mortgaged,Bachelor’s,Married,0,0,72502,300
53,57980,29097,9,9,0.84850175547138,51.2239063125311,Auto Loan,4,Self-employed,61,Rented,Doctorate,Divorced,2,1,56597,300
54,115745,26060,17,1,0.305908295663408,4.34476331741692,Auto Loan,5,Unemployed,33,Rented,Master’s,Married,1,1,15627,300
55,136732,9373,7,2,0.790165650111541,28.5810317112982,Credit Card,2,Salaried,21,Rented,Master’s,Single,3,3,29994,359.563617511162
56,112304,38541,3,2,0.412136129332437,31.4184515623809,Home Loan,3,Self-employed,31,Owned,Doctorate,Single,2,5,81264,300
57,49195,18350,5,4,0.278907113957147,75.0060050219981,Personal Loan,0,Unemployed,53,Rented,Doctorate,Single,3,4,68223,420.658957781951
58,54918,5861,7,7,0.0742670311472532,8.85837410582689,Home Loan,0,Unemployed,36,Rented,High School,Single,5,3,11960,509.309483938188
59,46945,43052,10,2,0.245540536597668,26.9854299897395,Credit Card,5,Self-employed,21,Owned,Doctorate,Single,4,5,39728,300
60,44289,18335,9,7,0.615456609628596,14.7345905798271,Auto Loan,3,Self-employed,18,Owned,Bachelor’s,Married,1,2,22961,300
61,118217,23241,1,7,0.828516840330761,1.52526809643364,Auto Loan,3,Unemployed,40,Owned,Bachelor’s,Divorced,4,1,94203,300
62,86299,13413,2,2,0.289288826684015,5.30678071104441,Auto Loan,1,Self-employed,48,Rented,Master’s,Divorced,2,0,21959,344.192174353787
63,115863,15445,17,9,0.910098435887262,13.8754380630991,Credit Card,3,Self-employed,22,Mortgaged,High School,Married,0,4,77847,380.944875442823
64,149132,35977,7,4,0.400201753564025,36.8081341613998,Auto Loan,5,Salaried,29,Rented,Bachelor’s,Divorced,5,1,934,300
65,38725,43107,8,2,0.497486860092982,93.6969132937897,Personal Loan,5,Self-employed,29,Mortgaged,Master’s,Married,4,5,68058,300
66,140205,2820,18,3,0.331630960114769,87.1492435615947,Auto Loan,5,Self-employed,21,Owned,Bachelor’s,Single,5,3,3994,434.781525769321
67,64051,33813,18,2,0.848387605372454,15.6440694085808,Credit Card,1,Salaried,59,Mortgaged,Bachelor’s,Married,5,1,35218,336.618940833712
68,79577,28217,12,4,0.426680539278921,11.2081710107784,Auto Loan,2,Self-employed,54,Rented,Master’s,Married,0,3,24224,314.90236491083
69,120289,11363,8,3,0.642581386661723,6.07572699833048,Credit Card,0,Unemployed,65,Owned,Bachelor’s,Divorced,4,1,53581,457.15739149966
70,113441,37823,3,2,0.660366555944715,6.18052829458166,Home Loan,4,Self-employed,18,Owned,Bachelor’s,Married,2,1,2671,300
71,119528,47717,8,9,0.797052003189465,5.35568323014073,Personal Loan,5,Salaried,42,Rented,Bachelor’s,Single,4,3,62867,300
72,33436,22800,19,2,0.985047749355785,80.392773893638,Credit Card,4,Salaried,55,Mortgaged,Master’s,Married,2,3,34538,300
73,54085,11641,16,1,0.235970125066694,76.597427490222,Personal Loan,3,Salaried,61,Rented,High School,Divorced,4,4,50613,407.553367905108
74,85698,13812,8,1,0.812223901963449,1.23187766081414,Credit Card,3,Unemployed,42,Mortgaged,Doctorate,Divorced,4,3,68919,300
75,66836,19905,11,7,0.877638775105803,78.3273493190926,Auto Loan,1,Salaried,62,Rented,Bachelor’s,Married,2,3,63467,391.432130482299
76,34350,43578,18,10,0.906668502507113,83.1098214538831,Personal Loan,5,Self-employed,38,Rented,Master’s,Single,0,5,41153,300
77,118441,43192,4,4,0.496408547811119,96.1876153716712,Credit Card,1,Salaried,63,Mortgaged,High School,Divorced,3,4,2216,300
78,145972,39432,2,1,0.18476946983719,32.66684172721,Auto Loan,2,Salaried,63,Mortgaged,High School,Single,3,3,9773,300
79,95483,5719,5,3,0.0112385699850688,27.1054297047727,Credit Card,5,Unemployed,65,Rented,High School,Single,2,4,97957,300
80,76894,23626,6,5,0.141894546571936,35.3723956271711,Credit Card,2,Self-employed,32,Owned,High School,Divorced,3,1,57686,321.629409823059
81,34475,40270,19,5,0.058678508791985,51.7881536637844,Home Loan,3,Self-employed,19,Mortgaged,Bachelor’s,Divorced,0,3,84022,306.659559286027
82,137668,6274,5,10,0.0518397649256673,62.4251495609965,Personal Loan,1,Self-employed,59,Mortgaged,Master’s,Single,1,1,59250,536.437264954598
83,108092,27684,6,8,0.549182708217449,76.475807242922,Auto Loan,2,Unemployed,31,Owned,Master’s,Married,0,5,10075,316.96096613305
84,66412,47933,8,3,0.607316696649945,29.8280425591785,Personal Loan,1,Self-employed,56,Owned,Master’s,Divorced,1,1,29824,300
85,24785,12692,16,9,0.364978219866961,91.2932451229096,Personal Loan,1,Unemployed,46,Owned,Master’s,Single,5,4,69518,517.212133908092
86,38212,26392,2,8,0.133193649724249,52.3155472652359,Home Loan,4,Unemployed,51,Rented,Bachelor’s,Married,0,1,83312,300
87,21412,23224,17,5,0.0813535663799803,96.696305079101,Personal Loan,4,Unemployed,26,Mortgaged,Master’s,Divorced,3,1,56155,333.367462568219
88,140730,30849,13,1,0.145207202123657,79.6935626028435,Credit Card,0,Self-employed,65,Rented,Bachelor’s,Divorced,5,4,40096,499.901061089056
89,81481,3793,14,3,0.700392965698682,65.2981150093513,Personal Loan,0,Self-employed,18,Owned,Master’s,Divorced,2,2,57213,552.965427601474
90,60834,10705,6,10,0.700945423560843,17.3661187747232,Personal Loan,3,Unemployed,32,Owned,High School,Single,1,1,43303,300
91,138338,30681,8,4,0.105282623695252,3.87315613688787,Auto Loan,0,Salaried,18,Owned,Master’s,Single,4,5,93585,430.228649032252
92,44735,9526,18,4,0.848837198978513,84.8777773666219,Personal Loan,0,Unemployed,45,Owned,Master’s,Single,1,0,41096,539.748502118793
93,145378,37693,18,8,0.0212075355543415,55.5216393542724,Personal Loan,0,Salaried,63,Owned,Master’s,Single,1,5,10936,554.093732788369
94,73345,7575,18,3,0.24075796844713,81.4074114828145,Personal Loan,3,Salaried,34,Owned,Bachelor’s,Single,5,0,89173,472.649575563361
95,29844,27355,18,8,0.095870806597618,85.2336524352371,Home Loan,1,Self-employed,57,Rented,Doctorate,Married,1,2,43225,486.150745557857
96,144169,13894,18,9,0.268597975830807,4.3091546676765,Home Loan,5,Unemployed,36,Owned,High School,Married,5,3,43523,376.937446417424
97,76478,49940,20,8,0.10988960350361,51.1664021317252,Auto Loan,5,Salaried,21,Mortgaged,High School,Divorced,3,4,18564,300
98,143752,18836,3,3,0.0209692966178519,49.7020043976286,Home Loan,3,Self-employed,37,Rented,Bachelor’s,Married,2,3,6277,319.408739203696
99,21869,28549,11,10,0.633093090235404,16.7734136326941,Credit Card,3,Self-employed,39,Rented,Bachelor’s,Single,2,0,47059,300
100,87016,17365,9,10,0.332586160155259,38.0077041714416,Auto Loan,0,Self-employed,34,Mortgaged,Bachelor’s,Single,4,3,76637,496.930902736862
101,132080,14973,8,2,0.901624627577361,17.6046358250855,Personal Loan,5,Self-employed,18,Mortgaged,Bachelor’s,Married,1,3,60968,300
102,60791,31262,9,6,0.0118466621871457,73.6636879107619,Credit Card,4,Self-employed,41,Rented,Doctorate,Married,2,5,4942,300
103,146055,27155,8,2,0.834352817614354,25.030796952609,Auto Loan,5,Unemployed,24,Owned,Doctorate,Divorced,1,1,43780,300
104,97689,18073,13,8,0.725191932138769,14.571033937402,Home Loan,5,Unemployed,58,Owned,Master’s,Married,2,1,39881,300
105,37148,10923,13,8,0.999810975385898,44.3064766896444,Auto Loan,0,Unemployed,34,Mortgaged,Bachelor’s,Married,0,0,31136,462.322474139566
106,147583,45579,2,8,0.987417611844415,62.3026810388979,Credit Card,2,Salaried,40,Owned,Master’s,Divorced,4,1,75408,300
107,148548,10697,12,6,0.564864761539256,91.4744336097629,Personal Loan,0,Self-employed,60,Mortgaged,High School,Single,1,5,14300,584.797740650956
108,20920,15080,13,1,0.829293237919306,14.2584503696462,Credit Card,1,Self-employed,48,Rented,Bachelor’s,Married,3,4,947,347.746568059559
109,68378,6232,6,7,0.561150670613743,38.1277363123059,Personal Loan,2,Salaried,33,Owned,Bachelor’s,Single,4,3,98847,372.374134428112
110,53203,17798,3,7,0.296506491691456,0.57163394345563,Home Loan,0,Unemployed,49,Mortgaged,Doctorate,Married,2,0,21963,382.113834469249
111,106070,30980,9,4,0.9654523438192,29.0824389585518,Personal Loan,4,Self-employed,54,Owned,High School,Divorced,1,5,77890,300
112,38399,10247,8,1,0.917439485724224,21.6523088968397,Home Loan,1,Salaried,42,Rented,Doctorate,Married,1,3,78479,328.446539209331
113,88253,12463,8,5,0.334380710758572,88.6547158906874,Personal Loan,5,Unemployed,60,Owned,High School,Divorced,2,4,292,300
114,93589,14566,11,1,0.32569834466348,50.0922131849678,Personal Loan,0,Self-employed,34,Owned,Bachelor’s,Single,1,2,17013,497.038938792803
115,84616,4785,8,9,0.492585482762667,12.9022397197756,Credit Card,0,Self-employed,32,Owned,High School,Married,3,0,88440,514.678238250288
116,65846,22869,19,1,0.612316973759642,82.5769769185182,Credit Card,4,Unemployed,43,Owned,High School,Single,4,1,40924,304.609124416628
117,38770,1525,20,10,0.135237398423527,14.277633996907,Auto Loan,3,Unemployed,18,Rented,Doctorate,Single,5,5,43659,511.836743822768
118,93989,23238,13,7,0.365104174332644,66.9714684663826,Credit Card,2,Unemployed,57,Mortgaged,High School,Married,3,0,51015,408.44465013326
119,123612,24676,7,1,0.111191356265056,30.2820243629067,Personal Loan,1,Unemployed,18,Rented,High School,Divorced,5,3,75489,388.049876554948
120,135149,13372,3,10,0.719412744542807,27.090812386012,Credit Card,5,Self-employed,64,Owned,Master’s,Single,2,2,24182,300
121,94744,31799,8,6,0.31685442285116,20.6192072922367,Credit Card,5,Self-employed,57,Rented,Doctorate,Married,2,3,93745,300
122,59129,44546,4,4,0.794709552762824,99.2057646929615,Home Loan,3,Salaried,45,Rented,High School,Single,1,2,94573,300
123,121862,26499,18,7,0.943408801045956,20.7491086205459,Home Loan,0,Salaried,25,Mortgaged,High School,Married,0,2,30661,479.780007539011
124,139315,24414,5,5,0.0855366107941791,67.6673230413741,Personal Loan,0,Salaried,18,Owned,High School,Divorced,3,5,51395,471.086667107936
125,72105,41161,2,10,0.286147056428862,52.2831589990072,Auto Loan,5,Salaried,37,Mortgaged,Doctorate,Divorced,0,2,40466,300
126,122235,5487,20,8,0.571360173121473,64.3387633342796,Home Loan,0,Unemployed,21,Owned,Doctorate,Divorced,4,3,97137,669.088364354993
127,77691,5649,15,10,0.645783326745114,2.79143076043954,Credit Card,3,Self-employed,44,Owned,Bachelor’s,Divorced,3,3,30575,410.366382705708
128,56853,9305,6,3,0.818149404986915,57.6329954682714,Credit Card,3,Unemployed,60,Rented,Master’s,Divorced,1,4,90257,300
129,39842,33941,20,8,0.822787397226441,95.0615911088207,Personal Loan,2,Unemployed,45,Owned,Bachelor’s,Divorced,5,3,75644,362.1083891651
130,67018,29324,5,8,0.628564791229822,51.2131185518919,Auto Loan,2,Self-employed,37,Owned,Master’s,Married,3,2,29585,300
131,64573,19667,18,1,0.019089830175855,16.9340621082459,Auto Loan,3,Salaried,41,Rented,Bachelor’s,Married,1,2,15723,386.271714703204
132,134956,10211,8,1,0.673468174806368,52.5632948696125,Home Loan,5,Self-employed,32,Mortgaged,Bachelor’s,Married,2,3,94586,300
133,21945,26730,6,1,0.0457658857966755,40.0320724117153,Home Loan,2,Unemployed,27,Mortgaged,Bachelor’s,Married,0,0,99389,300
134,84408,41215,5,2,0.424812629345095,3.22208330478255,Home Loan,2,Self-employed,36,Rented,High School,Married,2,5,11798,300
135,147948,9159,1,6,0.867706262338466,96.1830835315124,Auto Loan,1,Salaried,43,Rented,Doctorate,Divorced,3,4,58987,404.15791553191
136,138774,37391,8,4,0.657674468335683,35.7687070297614,Personal Loan,1,Unemployed,54,Mortgaged,Bachelor’s,Married,5,2,52411,307.677906681312
137,87946,5180,20,3,0.404862597381898,1.97320711964449,Credit Card,4,Self-employed,25,Mortgaged,Master’s,Divorced,2,5,96015,408.231010488299
138,38862,2294,8,4,0.694195197877077,59.4008191495484,Credit Card,3,Self-employed,51,Mortgaged,Master’s,Married,2,2,69340,324.718889787067
139,114735,37305,3,1,0.644581158686794,16.4414022283064,Auto Loan,1,Unemployed,30,Rented,Bachelor’s,Single,4,3,1632,300
140,104419,4105,18,8,0.991217981126221,96.1264986877373,Auto Loan,5,Self-employed,52,Mortgaged,Bachelor’s,Divorced,5,0,11666,368.029117897913
141,90790,47895,4,8,0.967328264737771,40.451629651828,Personal Loan,5,Unemployed,41,Mortgaged,Master’s,Married,3,4,78506,300
142,130254,10831,18,8,0.368972025424937,92.7231320239615,Home Loan,1,Unemployed,20,Owned,Master’s,Single,2,2,71855,612.145363469487
143,23537,11261,14,5,0.890421779918624,6.57823193260555,Credit Card,4,Unemployed,28,Owned,Bachelor’s,Married,4,1,86576,300
144,43761,21535,6,4,0.75189858645578,10.038714136846,Auto Loan,3,Unemployed,53,Rented,Doctorate,Married,4,4,8397,300
145,136804,14665,2,7,0.814984493497248,67.9177960699296,Personal Loan,1,Self-employed,48,Rented,High School,Single,4,2,80658,375.338115351907
146,88498,28201,2,10,0.840202661720557,71.9590487355772,Home Loan,3,Self-employed,40,Owned,Doctorate,Divorced,3,1,64351,300
147,144654,19154,16,6,0.726767143753796,38.0242883290331,Credit Card,5,Salaried,56,Mortgaged,Bachelor’s,Divorced,5,2,39017,300
148,138921,26178,13,8,0.937680219150973,17.291124320494,Home Loan,5,Unemployed,31,Owned,Bachelor’s,Single,5,3,30731,300
149,85337,13583,15,7,0.412483632448909,7.60820705109739,Credit Card,0,Self-employed,49,Owned,High School,Married,4,4,93329,536.532073613991
150,78628,7524,18,3,0.92831201382294,19.2878312540512,Home Loan,2,Unemployed,36,Mortgaged,Doctorate,Divorced,0,1,71979,426.611380911398
151,101800,41563,8,5,0.363018855780359,27.1771610744639,Personal Loan,3,Unemployed,23,Rented,Master’s,Married,1,2,85683,300
152,127409,24596,11,8,0.567737604562655,61.9867702280873,Personal Loan,1,Self-employed,49,Owned,Master’s,Single,5,1,50184,436.178957991112
153,132287,43556,18,6,0.783121591661174,44.5720612474939,Auto Loan,4,Unemployed,31,Rented,Doctorate,Married,2,5,45300,300
154,30079,15219,12,3,0.719804271730576,97.8006712752132,Credit Card,2,Self-employed,27,Mortgaged,High School,Divorced,3,4,82457,355.877575131216
155,37380,37325,7,3,0.861494821907827,40.2495980519116,Auto Loan,4,Self-employed,56,Mortgaged,Doctorate,Divorced,1,3,49634,300
156,24786,14212,7,8,0.243189410011519,3.78395632197275,Credit Card,0,Self-employed,23,Mortgaged,Doctorate,Married,3,2,87174,433.037037159834
157,139932,13760,7,3,0.669792595796892,12.9904689323911,Personal Loan,0,Salaried,64,Rented,High School,Single,3,1,98000,449.003974886506
158,101433,43234,9,1,0.262714540202209,64.2268646499273,Personal Loan,2,Self-employed,28,Owned,Doctorate,Married,5,3,13947,300
159,140217,43361,11,10,0.725663196228824,81.2242848253207,Auto Loan,5,Self-employed,53,Rented,Master’s,Single,5,3,11789,300
160,120081,34279,11,3,0.786334110895675,30.8594345674078,Auto Loan,0,Unemployed,55,Rented,High School,Divorced,1,3,69402,370.455306194136
161,91135,25600,3,5,0.49544707102337,77.8625479844354,Personal Loan,4,Self-employed,55,Owned,Doctorate,Single,1,5,97418,300
162,141660,16497,19,1,0.388157857400452,77.3908639657717,Auto Loan,5,Self-employed,36,Rented,Bachelor’s,Single,1,4,54696,356.834646242841
163,88897,1371,15,3,0.047286224374583,37.1684246410882,Credit Card,5,Unemployed,56,Mortgaged,High School,Married,3,4,70323,381.265256549753
164,119766,37812,16,1,0.749238535396343,41.5220334369347,Auto Loan,4,Self-employed,44,Owned,Master’s,Married,4,2,47806,300
165,102285,15036,7,6,0.42768582215601,9.72959706029574,Credit Card,5,Unemployed,41,Rented,Bachelor’s,Married,4,5,78960,300
166,68572,4122,11,7,0.710899496169973,9.59978866646202,Auto Loan,0,Self-employed,48,Rented,Doctorate,Single,3,3,37362,503.8146113829
167,48247,9407,8,4,0.239351895072936,34.5357363301123,Home Loan,2,Salaried,33,Rented,Doctorate,Divorced,4,1,63749,378.462345324429
168,120186,47479,3,8,0.0138872992121429,34.3024552367435,Auto Loan,1,Unemployed,57,Rented,High School,Married,2,5,60050,300
169,96696,44301,12,2,0.607204109023593,15.6561050858304,Auto Loan,0,Self-employed,26,Rented,High School,Divorced,0,0,28035,320.066641640556
170,25494,47096,10,7,0.860616233693781,41.9266522303191,Credit Card,2,Unemployed,65,Mortgaged,Doctorate,Divorced,0,0,14473,300
171,68378,19844,19,10,0.0358785911793438,84.0274339880878,Auto Loan,5,Self-employed,47,Owned,High School,Divorced,0,3,99367,374.791191209443
172,65090,4927,3,6,0.103542622207994,23.7583153826184,Auto Loan,2,Unemployed,59,Owned,High School,Single,2,4,14414,380.283228803843
173,143301,21762,17,6,0.837706493325454,99.5807540720874,Auto Loan,5,Unemployed,40,Mortgaged,Doctorate,Married,4,1,66807,302.743727703498
174,50369,5575,10,4,0.944138420518246,98.2168967998756,Personal Loan,0,Unemployed,65,Mortgaged,Bachelor’s,Single,4,0,98824,480.398939681447
175,120088,6824,3,2,0.528210825906177,0.182300341440012,Credit Card,2,Salaried,36,Mortgaged,Bachelor’s,Married,1,3,44536,333.208734246769
176,138483,1998,19,7,0.256929958265791,58.7532869512901,Home Loan,0,Self-employed,53,Owned,Bachelor’s,Divorced,2,5,44834,711.015647649066
177,142255,15171,20,4,0.66927194625055,6.12147238376496,Auto Loan,3,Unemployed,40,Rented,High School,Divorced,0,5,45145,425.115208233494
178,133394,40030,3,5,0.87621817634413,70.6048954424694,Credit Card,5,Unemployed,63,Mortgaged,Doctorate,Divorced,5,2,3117,300
179,74122,26605,3,3,0.574584930569357,73.3178148682675,Credit Card,2,Self-employed,31,Mortgaged,High School,Divorced,3,4,1196,300
180,74547,46153,6,6,0.90094308728458,13.4686991326842,Personal Loan,1,Unemployed,38,Mortgaged,Bachelor’s,Married,2,3,82281,300
181,145122,7459,7,9,0.40380170651754,30.3064004129995,Credit Card,0,Self-employed,37,Owned,Doctorate,Married,1,1,43778,549.226029554746
182,75599,26586,5,8,0.688435005791142,26.7925918402548,Home Loan,1,Unemployed,63,Rented,Bachelor’s,Single,3,4,47854,302.022128674347
183,81556,34906,1,4,0.278823193097813,25.4765917980476,Credit Card,2,Self-employed,44,Owned,Doctorate,Married,3,0,65854,300
184,82907,31464,18,5,0.142242562252471,65.4098361613927,Credit Card,3,Salaried,43,Rented,Master’s,Single,1,2,97518,371.431995188783
185,98556,26941,5,9,0.0154126834447125,78.6817935097124,Home Loan,1,Self-employed,44,Owned,Bachelor’s,Single,0,3,67237,413.798628410385
186,96346,31124,19,5,0.472164849356264,57.7004941062215,Home Loan,5,Unemployed,55,Owned,High School,Single,3,1,90015,300
187,146240,26138,19,6,0.00339972979856007,14.1694454490528,Personal Loan,2,Self-employed,55,Mortgaged,High School,Single,2,2,89644,493.548083078004
188,29480,24943,8,5,0.83702136788976,10.8115231490911,Auto Loan,4,Salaried,42,Owned,Doctorate,Married,0,0,27319,300
189,100767,16775,20,7,0.864979025076169,60.3902897990361,Auto Loan,1,Unemployed,23,Owned,Master’s,Single,0,2,83178,512.000242391901
190,67935,30638,8,5,0.16409844837071,39.4381557485345,Personal Loan,3,Unemployed,49,Owned,High School,Divorced,4,5,52477,300
191,43343,11625,3,8,0.310318045130157,47.5796599272227,Home Loan,3,Unemployed,31,Mortgaged,Master’s,Married,2,3,28499,300
192,52650,32129,18,4,0.788496409366259,27.256846828674,Personal Loan,1,Self-employed,42,Rented,Bachelor’s,Married,5,4,11858,359.233782477711
193,115228,48534,5,1,0.542630023449741,85.9383886179969,Auto Loan,2,Self-employed,38,Rented,Bachelor’s,Divorced,0,1,64969,300
194,81216,35476,2,1,0.358813194475542,97.3071770596261,Credit Card,4,Unemployed,61,Mortgaged,Master’s,Married,0,3,86937,300
195,93200,9587,13,6,0.356791597259054,65.6847573428156,Auto Loan,5,Self-employed,48,Owned,Doctorate,Single,4,4,73827,321.361552278836
